layer,metric,mean,std,n
0,l1_dist,288.7965978794100,348.7858771471410,1000
0,l2_dist,62.72199528670310,104.13933764784500,1000
0,cosine_dist,0.023561549292877300,0.13273907900280800,1000
0,slang_only_features,14.012,7.644073259722200,1000
0,literal_only_features,7.987,9.223927092079600,1000
0,shared_features,32.471,7.0110740261389300,1000
0,slang_active,46.483,6.0209393785355400,1000
0,literal_active,40.458,7.592248415324670,1000
1,l1_dist,289.94598700141900,347.58651212233100,1000
1,l2_dist,62.576484537124600,107.0322093484750,1000
1,cosine_dist,0.030546793473884500,0.16131738513414000,1000
1,slang_only_features,11.226,7.001494411909500,1000
1,literal_only_features,10.605,9.690251544722670,1000
1,shared_features,27.351,6.191267963834230,1000
1,slang_active,38.577,5.518883129764570,1000
1,literal_active,37.956,7.790511151394370,1000
2,l1_dist,859.3341590690610,422.03573943204300,1000
2,l2_dist,110.97704037475600,47.52078410288260,1000
2,cosine_dist,0.1287214768603440,0.13666931967118300,1000
2,slang_only_features,31.994,20.18132711196170,1000
2,literal_only_features,31.833,18.304619935961500,1000
2,shared_features,51.295,27.29043742778780,1000
2,slang_active,83.289,31.535654091837100,1000
2,literal_active,83.128,30.99834860117550,1000
3,l1_dist,521.6758237304690,329.44644869147900,1000
3,l2_dist,89.71323878860470,49.221191636290200,1000
3,cosine_dist,0.1097541366815570,0.14176971168873100,1000
3,slang_only_features,16.853,8.453365661084350,1000
3,literal_only_features,14.047,9.51812959567162,1000
3,shared_features,28.07,8.407562072325130,1000
3,slang_active,44.923,6.927558805235800,1000
3,literal_active,42.117,7.986320241512980,1000
4,l1_dist,607.0738807678220,374.8025566854240,1000
4,l2_dist,96.94600245189670,49.88331638768250,1000
4,cosine_dist,0.13177479952573800,0.1288671028298990,1000
4,slang_only_features,21.046,11.878547217568300,1000
4,literal_only_features,15.51,11.19293973896050,1000
4,shared_features,27.274,8.2009099495117,1000
4,slang_active,48.32,7.339182515784710,1000
4,literal_active,42.784,9.73392747045097,1000
5,l1_dist,652.6393092041020,377.6994756541100,1000
5,l2_dist,103.8092215499880,50.72010680147020,1000
5,cosine_dist,0.1348010407835250,0.12888925975105900,1000
5,slang_only_features,19.492,10.7445770507731,1000
5,literal_only_features,16.517,9.978963423121660,1000
5,shared_features,26.599,6.762114979797370,1000
5,slang_active,46.091,9.482969946171930,1000
5,literal_active,43.116,8.501208384694500,1000
6,l1_dist,852.5603459625240,429.80321536843900,1000
6,l2_dist,128.20668054866800,56.73001556492100,1000
6,cosine_dist,0.21361458364874100,0.1699673160755790,1000
6,slang_only_features,20.588,9.714950128539000,1000
6,literal_only_features,18.735,9.769481818397540,1000
6,shared_features,25.449,7.061685280441210,1000
6,slang_active,46.037,6.506583665795750,1000
6,literal_active,44.184,7.484526972361050,1000
7,l1_dist,1013.0073965644800,490.556169107395,1000
7,l2_dist,145.07341324329400,60.857504728376500,1000
7,cosine_dist,0.21997063065692800,0.17386406238022800,1000
7,slang_only_features,26.355,11.692517906764100,1000
7,literal_only_features,20.152,10.465509829912700,1000
7,shared_features,26.567,7.138312895915950,1000
7,slang_active,52.922,8.579155902534930,1000
7,literal_active,46.719,8.526666347406820,1000
8,l1_dist,1802.965617263790,723.0981891540350,1000
8,l2_dist,210.0188281612400,75.27777047753210,1000
8,cosine_dist,0.25857245095819200,0.17231743393299900,1000
8,slang_only_features,39.108,15.08225235168810,1000
8,literal_only_features,32.712,13.772401969155600,1000
8,shared_features,34.005,11.543611869774600,1000
8,slang_active,73.113,9.047443340524440,1000
8,literal_active,66.717,10.231271230888200,1000
9,l1_dist,1890.0864799804700,744.097687528121,1000
9,l2_dist,232.26485280799900,82.5397241089556,1000
9,cosine_dist,0.2285324806049470,0.1524865383585110,1000
9,slang_only_features,32.793,13.568498479935100,1000
9,literal_only_features,28.38,12.614499593721500,1000
9,shared_features,33.525,10.485579383133800,1000
9,slang_active,66.318,7.692130784119570,1000
9,literal_active,61.905,9.019643839975060,1000
10,l1_dist,3479.332070739750,1209.490914022970,1000
10,l2_dist,338.05676780700700,102.15725260179000,1000
10,cosine_dist,0.30415302869677500,0.17980579831653200,1000
10,slang_only_features,55.605,19.858876478794100,1000
10,literal_only_features,45.438,17.313120920273200,1000
10,shared_features,44.42,15.002919715842000,1000
10,slang_active,100.025,11.508013512331300,1000
10,literal_active,89.858,13.218465720347400,1000
11,l1_dist,3800.1176051330600,1269.3304981782000,1000
11,l2_dist,373.53671731567400,105.75446989119300,1000
11,cosine_dist,0.3366916811838750,0.18682351053450000,1000
11,slang_only_features,53.919,19.470604484709800,1000
11,literal_only_features,45.717,16.307878801364700,1000
11,shared_features,39.387,14.411427097966400,1000
11,slang_active,93.306,13.201225852169900,1000
11,literal_active,85.104,12.757240453954000,1000
12,l1_dist,4700.489375122070,1445.296854565180,1000
12,l2_dist,458.113619682312,117.47732559667400,1000
12,cosine_dist,0.36702391161769600,0.18185124562580600,1000
12,slang_only_features,54.049,18.471345348945200,1000
12,literal_only_features,47.705,15.773204335200900,1000
12,shared_features,40.203,15.850103816694700,1000
12,slang_active,94.252,13.795452004193300,1000
12,literal_active,87.908,13.22707586732610,1000
13,l1_dist,6602.401193054200,1949.9518264807000,1000
13,l2_dist,596.6936211700440,140.26198103338000,1000
13,cosine_dist,0.3650293616503480,0.15862299147658300,1000
13,slang_only_features,59.769,20.1839946244543,1000
13,literal_only_features,54.865,17.535129740039000,1000
13,shared_features,44.998,16.905206180345700,1000
13,slang_active,104.767,16.148210767760000,1000
13,literal_active,99.863,15.311571800439000,1000
14,l1_dist,7527.67096484375,2310.778838292900,1000
14,l2_dist,675.7049295654300,157.0913263503460,1000
14,cosine_dist,0.31287323974072900,0.13930704892614200,1000
14,slang_only_features,55.828,18.66950497469070,1000
14,literal_only_features,53.976,17.73266545108210,1000
14,shared_features,49.859,15.51512549095240,1000
14,slang_active,105.687,14.410171095445100,1000
14,literal_active,103.835,14.00049195564210,1000
15,l1_dist,9079.806657592770,2644.382583731410,1000
15,l2_dist,799.2694817352300,176.7456711851960,1000
15,cosine_dist,0.36726579200476400,0.1574953806174830,1000
15,slang_only_features,58.984,18.90660582970940,1000
15,literal_only_features,56.753,18.902697982034200,1000
15,shared_features,50.127,17.315682804902600,1000
15,slang_active,109.111,13.435351837596200,1000
15,literal_active,106.88,14.343277170856000,1000
16,l1_dist,12249.936070556600,3429.5201218236600,1000
16,l2_dist,1009.8676115722700,214.58633785748200,1000
16,cosine_dist,0.3644273396730420,0.13376983636034900,1000
16,slang_only_features,67.977,20.772156147111900,1000
16,literal_only_features,70.569,23.809519923761600,1000
16,shared_features,49.821,16.15973264011510,1000
16,slang_active,117.798,16.422338323150000,1000
16,literal_active,120.39,19.475109755788300,1000
17,l1_dist,14355.82486328130,4157.673196465830,1000
17,l2_dist,1215.0565012817400,267.2225974274920,1000
17,cosine_dist,0.3312551441192630,0.1154229763205130,1000
17,slang_only_features,65.467,21.099974194297000,1000
17,literal_only_features,65.925,22.84209655438840,1000
17,shared_features,46.891,15.124057623534800,1000
17,slang_active,112.358,19.520344156802200,1000
17,literal_active,112.816,20.805291250064200,1000
18,l1_dist,20187.121725097700,5837.906506211970,1000
18,l2_dist,1616.0608475647000,337.7870161243110,1000
18,cosine_dist,0.380877150118351,0.12807827554435600,1000
18,slang_only_features,71.35,23.617313564417100,1000
18,literal_only_features,74.355,27.05984063145980,1000
18,shared_features,54.4,16.98340366357700,1000
18,slang_active,125.75,21.75843514593820,1000
18,literal_active,128.755,26.231602600680000,1000
19,l1_dist,21785.404938964800,6389.217718697430,1000
19,l2_dist,1804.0935546875,377.50600217559700,1000
19,cosine_dist,0.33440727615356400,0.11655529804217900,1000
19,slang_only_features,64.702,23.032351074087100,1000
19,literal_only_features,70.47,24.825976315142200,1000
19,shared_features,52.87,15.45183160664130,1000
19,slang_active,117.572,22.990407042938600,1000
19,literal_active,123.34,24.820966943292100,1000
20,l1_dist,22358.87504199220,6062.979885001240,1000
20,l2_dist,1883.862725341800,358.3346476288880,1000
20,cosine_dist,0.39191594122350200,0.12744226727604000,1000
20,slang_only_features,61.43,20.464630463314000,1000
20,literal_only_features,65.492,21.977669030177000,1000
20,shared_features,53.434,14.657682081420700,1000
20,slang_active,114.864,19.477153385441100,1000
20,literal_active,118.926,20.31837897077420,1000
21,l1_dist,24512.918928710900,6300.361242165170,1000
21,l2_dist,2071.5266094970700,375.0643464098900,1000
21,cosine_dist,0.4182603114396330,0.13345690271634800,1000
21,slang_only_features,63.115,21.33827019699580,1000
21,literal_only_features,71.603,22.07467759673970,1000
21,shared_features,39.465,14.396484814009300,1000
21,slang_active,102.58,20.328197165513700,1000
21,literal_active,111.068,19.122640403458900,1000
22,l1_dist,31607.68108203130,8280.634755165050,1000
22,l2_dist,2522.408937255860,472.22517827046100,1000
22,cosine_dist,0.4624167756065730,0.16055833290007200,1000
22,slang_only_features,72.941,23.199644803315400,1000
22,literal_only_features,86.399,28.742717321088500,1000
22,shared_features,37.813,15.166147533239900,1000
22,slang_active,110.754,21.555312199084500,1000
22,literal_active,124.212,24.82569346463460,1000
23,l1_dist,35019.710838867200,9079.855987689150,1000
23,l2_dist,2909.5447395019500,555.7458305986160,1000
23,cosine_dist,0.4768865118511020,0.1809373586599850,1000
23,slang_only_features,70.454,20.425030820050200,1000
23,literal_only_features,81.672,26.357056284797800,1000
23,shared_features,34.26,15.305698285279200,1000
23,slang_active,104.714,17.28358192042380,1000
23,literal_active,115.932,21.037855784276100,1000
24,l1_dist,37475.979298828100,9652.080666427560,1000
24,l2_dist,3169.5257111816400,628.0349598858940,1000
24,cosine_dist,0.5213099141297860,0.19807686059778400,1000
24,slang_only_features,66.148,19.223165608192600,1000
24,literal_only_features,82.718,26.630330001710500,1000
24,shared_features,34.817,16.578887507912000,1000
24,slang_active,100.965,18.558819332058800,1000
24,literal_active,117.535,21.214211628057300,1000
25,l1_dist,42406.145794921900,10962.303484521300,1000
25,l2_dist,3559.83221484375,711.9820586312480,1000
25,cosine_dist,0.45174356205947700,0.1810664666107610,1000
25,slang_only_features,68.539,18.39240275222350,1000
25,literal_only_features,84.433,27.728424243003800,1000
25,shared_features,33.464,15.727259901203400,1000
25,slang_active,102.003,17.606561021392000,1000
25,literal_active,117.897,21.465283389697000,1000
26,l1_dist,51809.964671875,13059.072612566000,1000
26,l2_dist,4263.200078979490,848.2342168853090,1000
26,cosine_dist,0.4871129713039850,0.19283069818463500,1000
26,slang_only_features,74.068,18.769586463212200,1000
26,literal_only_features,82.558,25.893640840947800,1000
26,shared_features,40.014,17.333949463408500,1000
26,slang_active,114.082,14.781721009408900,1000
26,literal_active,122.572,18.83445820829470,1000
27,l1_dist,54811.49250390630,14109.623302345500,1000
27,l2_dist,4705.51985961914,954.0214837132090,1000
27,cosine_dist,0.4710457574594770,0.1961741718128540,1000
27,slang_only_features,63.033,16.605177234826500,1000
27,literal_only_features,81.465,25.41792231871050,1000
27,shared_features,35.713,15.714790199045000,1000
27,slang_active,98.746,13.964651230875800,1000
27,literal_active,117.178,18.706584829946900,1000
28,l1_dist,66376.27382910160,16371.146193950900,1000
28,l2_dist,5462.527265991210,1045.0059813992300,1000
28,cosine_dist,0.48933393849246200,0.18093362489946100,1000
28,slang_only_features,70.414,18.06091370889080,1000
28,literal_only_features,84.02,25.02078336103810,1000
28,shared_features,39.623,16.522919566468900,1000
28,slang_active,110.037,13.720336402581400,1000
28,literal_active,123.643,18.802062413469400,1000
29,l1_dist,72049.08694335940,17698.256593134900,1000
29,l2_dist,6001.639621826170,1179.0116003511400,1000
29,cosine_dist,0.4827489639520650,0.17764481132386000,1000
29,slang_only_features,70.262,18.314948976177900,1000
29,literal_only_features,84.155,24.84461662010510,1000
29,shared_features,41.21,16.976981474926600,1000
29,slang_active,111.472,14.920697570824200,1000
29,literal_active,125.365,18.749447325188000,1000
30,l1_dist,73596.01344335940,18211.153170033100,1000
30,l2_dist,6148.346628051760,1197.5310935844700,1000
30,cosine_dist,0.46401451630890400,0.17422105971200000,1000
30,slang_only_features,67.236,18.705248033640200,1000
