layer,metric,mean,std,n
0,l1_dist,474.5252824,899.426745,1002
0,l2_dist,118.7235952,216.4276392,1002
0,cosine_dist,0.107999284,0.305465778,1002
0,slang_only_features,16.21856287,36.68056987,1002
0,literal_only_features,9.731536926,9.4195185,1002
0,shared_features,29.7744511,9.258163897,1002
0,slang_active,45.99301397,31.90543899,1002
0,literal_active,39.50598802,3.49114421,1002
1,l1_dist,479.9014335,872.082333,1002
1,l2_dist,116.8262471,197.2940762,1002
1,cosine_dist,0.110322871,0.305365563,1002
1,slang_only_features,15.92814371,37.34476621,1002
1,literal_only_features,11.8493014,9.644387802,1002
1,shared_features,24.32834331,9.193472422,1002
1,slang_active,40.25648703,33.14724127,1002
1,literal_active,36.17764471,4.55662743,1002
2,l1_dist,1099.588952,1266.552475,1002
2,l2_dist,139.2381122,125.0088934,1002
2,cosine_dist,0.202304844,0.282992341,1002
2,slang_only_features,36.3253493,61.69715438,1002
2,literal_only_features,37.91516966,29.45421342,1002
2,shared_features,48.48702595,32.34816107,1002
2,slang_active,84.81237525,60.40365489,1002
2,literal_active,86.40219561,40.10720309,1002
3,l1_dist,695.5102254,870.0539904,1002
3,l2_dist,112.0946187,118.853202,1002
3,cosine_dist,0.19337321,0.301046607,1002
3,slang_only_features,24.92914172,37.7569701,1002
3,literal_only_features,15.34331337,10.62957781,1002
3,shared_features,25.73153693,11.03554335,1002
3,slang_active,50.66067864,31.79256354,1002
3,literal_active,41.0748503,6.46017944,1002
4,l1_dist,750.2965863,866.9332608,1002
4,l2_dist,121.9913736,125.0878512,1002
4,cosine_dist,0.199472427,0.289201093,1002
4,slang_only_features,24.84530938,32.70617122,1002
4,literal_only_features,15.54391218,9.837632329,1002
4,shared_features,27.3752495,9.788119922,1002
4,slang_active,52.22055888,26.27602325,1002
4,literal_active,42.91916168,4.406316018,1002
5,l1_dist,789.9022127,924.6243642,1002
5,l2_dist,123.9418409,134.8626995,1002
5,cosine_dist,0.21530161,0.330592126,1002
5,slang_only_features,25.65568862,33.92439364,1002
5,literal_only_features,15.56586826,9.434729696,1002
5,shared_features,24.91516966,9.000431871,1002
5,slang_active,50.57085828,27.72126498,1002
5,literal_active,40.48103792,4.518772081,1002
6,l1_dist,1032.129193,1039.771513,1002
6,l2_dist,150.5942578,137.7965877,1002
6,cosine_dist,0.248436683,0.310863854,1002
6,slang_only_features,29.87325349,34.57885927,1002
6,literal_only_features,18.89620758,9.546148317,1002
6,shared_features,26.78243513,9.331688488,1002
6,slang_active,56.65568862,27.82548647,1002
6,literal_active,45.67864271,4.42147307,1002
7,l1_dist,1214.913874,1139.98552,1002
7,l2_dist,167.4349188,139.2727299,1002
7,cosine_dist,0.248921203,0.309644639,1002
7,slang_only_features,31.68463074,33.2378224,1002
7,literal_only_features,22.01796407,10.58657289,1002
7,shared_features,27.71956088,9.817201318,1002
7,slang_active,59.40419162,26.90686425,1002
7,literal_active,49.73752495,6.41775614,1002
8,l1_dist,1570.172968,1278.430893,1002
8,l2_dist,195.2597793,145.554737,1002
8,cosine_dist,0.230230129,0.277379378,1002
8,slang_only_features,34.11876248,31.49116512,1002
8,literal_only_features,27.1257485,14.3263278,1002
8,shared_features,38.5988024,13.56328843,1002
8,slang_active,72.71756487,22.07583262,1002
8,literal_active,65.7245509,7.19766374,1002
9,l1_dist,1751.739412,1521.225854,1002
9,l2_dist,217.6585217,170.5246407,1002
9,cosine_dist,0.203698424,0.268627474,1002
9,slang_only_features,34.55489022,39.3943353,1002
9,literal_only_features,24.08982036,12.83940091,1002
9,shared_features,38.66067864,11.86032445,1002
9,slang_active,73.21556886,31.70613315,1002
9,literal_active,62.750499,6.9300486,1002
10,l1_dist,2925.481368,1761.793866,1002
10,l2_dist,302.2419303,171.1463275,1002
10,cosine_dist,0.239269972,0.23135018,1002
10,slang_only_features,49.61576846,33.73651976,1002
10,literal_only_features,38.19361277,17.4170529,1002
10,shared_features,52.48203593,16.4320465,1002
10,slang_active,102.0978044,24.36217118,1002
10,literal_active,90.6756487,10.55172536,1002
11,l1_dist,3305.523826,2083.923599,1002
11,l2_dist,345.4935301,197.5835828,1002
11,cosine_dist,0.250516512,0.232577054,1002
11,slang_only_features,46.0748503,36.5577686,1002
11,literal_only_features,39.57884232,17.37499613,1002
11,shared_features,52.94111776,16.40996502,1002
11,slang_active,99.01596806,27.6237868,1002
11,literal_active,92.51996008,11.83477828,1002
12,l1_dist,3851.2948,2237.195644,1002
12,l2_dist,398.3191684,205.3001849,1002
12,cosine_dist,0.241172045,0.212027491,1002
12,slang_only_features,43.58083832,30.62665454,1002
12,literal_only_features,37.99600798,16.96620993,1002
12,shared_features,57.55988024,15.96843528,1002
12,slang_active,101.1407186,22.27009753,1002
12,literal_active,95.55588822,12.02290604,1002
13,l1_dist,5582.528708,2849.051231,1002
13,l2_dist,520.3736738,213.787624,1002
13,cosine_dist,0.246426684,0.19486836,1002
13,slang_only_features,46.51996008,27.35181634,1002
13,literal_only_features,47.22654691,21.31372853,1002
13,shared_features,69.86926148,20.24939006,1002
13,slang_active,116.3892216,18.24178386,1002
13,literal_active,117.0958084,13.45728818,1002
14,l1_dist,6369.458143,3159.162036,1002
14,l2_dist,605.6049439,240.430922,1002
14,cosine_dist,0.222281607,0.17812455,1002
14,slang_only_features,40.21956088,21.01894632,1002
14,literal_only_features,48.08582834,23.41248236,1002
14,shared_features,69.2005988,22.56219348,1002
14,slang_active,109.4201597,16.52150696,1002
14,literal_active,117.2864271,16.16157179,1002
15,l1_dist,7228.738917,3577.175985,1002
15,l2_dist,669.8539113,247.8896079,1002
15,cosine_dist,0.226432533,0.171410649,1002
15,slang_only_features,41.89620758,24.08619762,1002
15,literal_only_features,47.49201597,21.98008616,1002
15,shared_features,74.32934132,22.27480602,1002
